product_id,name,category,price,created_at,active
1,Synergized intermediate circuit,Apparel,18.34,2024-09-25,True
2,Triple-buffered client-server moderator,Electronics,41.71,2024-08-08,True
3,Expanded contextually-based intranet,Books,249.88,2024-08-20,True
4,Networked interactive workforce,Toys,32.0,2024-10-12,True
5,Upgradable directional utilization,Electronics,183.62,2024-06-26,True
6,Expanded optimizing strategy,Apparel,216.84,2024-05-03,False
7,Networked 5thgeneration emulation,Apparel,219.51,2024-12-02,True
8,Enterprise-wide high-level approach,Electronics,165.55,2025-01-11,True
9,Synergistic context-sensitive emulation,Home,25.65,2024-11-24,True
10,Seamless background strategy,Home,108.34,2025-02-26,True
11,Versatile executive throughput,Electronics,153.57,2025-03-01,True
12,Multi-channeled incremental knowledgebase,Books,34.77,2024-05-05,False
13,Total multi-state secured line,Apparel,81.74,2025-03-30,False
14,Reactive user-facing Internet solution,Books,54.98,2024-11-13,True
15,Pre-emptive eco-centric strategy,Electronics,237.65,2024-10-06,True
16,Mandatory encompassing analyzer,Apparel,105.98,2024-05-01,True
17,Diverse grid-enabled ability,Electronics,181.05,2024-07-30,False
18,Adaptive client-driven architecture,Apparel,8.9,2025-01-27,False
19,Synergized directional portal,Books,263.07,2024-09-07,True
20,Face-to-face logistical core,Home,119.65,2024-08-17,True
21,Customer-focused real-time artificial intelligence,Apparel,170.38,2025-01-30,True
22,Inverse national knowledgebase,Toys,223.76,2025-03-07,True
23,Function-based 4thgeneration model,Electronics,165.57,2024-05-01,True
24,Multi-layered attitude-oriented database,Apparel,229.84,2025-02-27,False
25,Monitored content-based customer loyalty,Home,184.99,2024-07-16,True
26,Upgradable user-facing framework,Books,284.34,2024-08-07,True
27,Networked eco-centric matrices,Home,119.47,2024-08-18,False
28,Universal disintermediate analyzer,Electronics,5.45,2024-08-05,True
29,Reactive asynchronous access,Home,52.22,2024-09-30,True
30,Up-sized leadingedge application,Toys,116.7,2025-03-16,False
31,Open-source modular knowledgebase,Electronics,123.67,2024-09-23,False
32,Configurable attitude-oriented encoding,Electronics,53.87,2024-05-21,True
33,Virtual coherent installation,Home,211.95,2025-03-04,False
34,Extended leadingedge pricing structure,Books,266.06,2024-05-13,True
35,Optimized next generation system engine,Electronics,150.9,2025-03-05,True
36,Object-based 6thgeneration contingency,Toys,19.71,2024-07-15,False
37,Face-to-face clear-thinking focus group,Apparel,166.83,2025-03-22,True
38,Intuitive intermediate benchmark,Apparel,296.11,2024-11-04,False
39,Horizontal reciprocal moratorium,Toys,98.27,2025-01-28,True
40,Universal explicit time-frame,Electronics,216.61,2024-09-23,True
41,Robust maximized monitoring,Books,185.56,2024-12-03,True
42,Future-proofed discrete adapter,Electronics,184.47,2024-05-28,True
43,Universal bandwidth-monitored conglomeration,Home,87.59,2025-01-08,True
44,Fully-configurable didactic forecast,Electronics,145.3,2025-03-02,False
45,Switchable 24hour support,Electronics,11.44,2024-10-27,False
46,Optimized actuating capability,Electronics,259.1,2024-09-02,True
47,Future-proofed bottom-line support,Books,246.1,2024-11-07,True
48,Focused systematic structure,Electronics,262.2,2024-12-28,True
49,Switchable executive definition,Electronics,17.48,2025-01-10,True
50,Front-line asymmetric model,Home,169.71,2024-08-05,True
